浙江,#genre#
Y+频道HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229999/133380193.smil/index.m3u8?fmt=ts2hls
CCTV16HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232651/index.m3u8
CCTVNEWS,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228416/44198373.smil/index.m3u8?fmt=ts2hls
CCTV17HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229762/117317448.smil/index.m3u8?fmt=ts2hls
湖南卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228336/42329937.smil/index.m3u8?fmt=ts2hls
东方卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228354/42329929.smil/index.m3u8?fmt=ts2hls
江苏卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228351/42329921.smil/index.m3u8?fmt=ts2hls
北京卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228321/42329925.smil/index.m3u8?fmt=ts2hls
优优宝贝,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229380/78052125.smil/index.m3u8?fmt=ts2hls
金鹰纪实,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229328/78602057.smil/index.m3u8?fmt=ts2hls
爱院线HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230019/133451219.smil/index.m3u8?fmt=ts2hls
茶频道HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229404/80670192.smil/index.m3u8?fmt=ts2hls
四海钓鱼,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228662/60366869.smil/index.m3u8?fmt=ts2hls
车迷频道,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229410/80671671.smil/index.m3u8?fmt=ts2hls
爱时尚HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230109/index.m3u8
爱历史HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230100/index.m3u8
卡酷少儿,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228375/42613213.smil/index.m3u8?fmt=ts2hls
优漫卡通,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228378/42613464.smil/index.m3u8?fmt=ts2hls
金鹰卡通,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228362/42613591.smil/index.m3u8?fmt=ts2hls
少儿动漫HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228387/42613922.smil/index.m3u8?fmt=ts2hls
嘉佳卡通,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228593/59463357.smil/index.m3u8?fmt=ts2hls
欧美影院HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228384/42613784.smil/index.m3u8?fmt=ts2hls
亚洲影院HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228365/42613673.smil/index.m3u8?fmt=ts2hls
探索纪实HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221231385/247557772.smil/index.m3u8?fmt=ts2hls
精品剧场HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221231330/247557658.smil/index.m3u8?fmt=ts2hls
深圳卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228314/42329941.smil/index.m3u8?fmt=ts2hls
广东卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228329/42329945.smil/index.m3u8?fmt=ts2hls
天津卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228320/42329956.smil/index.m3u8?fmt=ts2hls
山东卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228308/42329957.smil/index.m3u8?fmt=ts2hls
湖北卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228357/42329887.smil/index.m3u8?fmt=ts2hls
黑龙江卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228302/42329917.smil/index.m3u8?fmt=ts2hls
重庆卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232642/341733166.smil/index.m3u8?fmt=ts2hls
辽宁卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228317/42329987.smil/index.m3u8?fmt=ts2hls
安徽卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228332/42329873.smil/index.m3u8?fmt=ts2hls
江西卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228293/42329843.smil/index.m3u8?fmt=ts2hls
四川卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221231298/236035585.smil/index.m3u8?fmt=ts2hls
东南卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221231261/235855022.smil/index.m3u8?fmt=ts2hls
广西卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221231292/235855143.smil/index.m3u8?fmt=ts2hls
河北卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221231270/235855194.smil/index.m3u8?fmt=ts2hls
山西卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228291/42329192.smil/index.m3u8?fmt=ts2hls
陕西卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228272/42329208.smil/index.m3u8?fmt=ts2hls
兵团卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228419/44198443.smil/index.m3u8?fmt=ts2hls
贵州卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221231267/235855087.smil/index.m3u8?fmt=ts2hls
青海卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228287/42329203.smil/index.m3u8?fmt=ts2hls
河南卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221231264/235855023.smil/index.m3u8?fmt=ts2hls
宁夏卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228284/42329159.smil/index.m3u8?fmt=ts2hls
甘肃卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228288/42329156.smil/index.m3u8?fmt=ts2hls
吉林卫视HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221231289/235855024.smil/index.m3u8?fmt=ts2hls
海南卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232687/42329198.smil/index.m3u8?fmt=ts2hls
内蒙古卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228339/42329883.smil/index.m3u8?fmt=ts2hls
新疆卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228326/42329879.smil/index.m3u8?fmt=ts2hls
西藏卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228345/42330007.smil/index.m3u8?fmt=ts2hls
云南卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228303/42329168.smil/index.m3u8?fmt=ts2hls
中国教育-1,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228285/42329224.smil/index.m3u8?fmt=ts2hls
爱美食HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230115/index.m3u8
爱旅行HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230052/index.m3u8
漫游世界HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228581/59463297.smil/index.m3u8?fmt=ts2hls
高清娱乐HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228575/59463282.smil/index.m3u8?fmt=ts2hls
电子竞技HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228572/59463316.smil/index.m3u8?fmt=ts2hls
炫动卡通,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229065/index.m3u8
山东教育,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228999/index.m3u8
动作电影,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229672/index.m3u8
黑莓动画,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229675/index.m3u8
金牌综艺,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229704/index.m3u8
惊悚悬疑,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229701/index.m3u8
明星大片,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229660/index.m3u8
军事评论,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229716/index.m3u8
古装剧场,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229710/index.m3u8
爱情喜剧,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229731/index.m3u8
精品大剧,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229713/index.m3u8
精品纪录,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229707/index.m3u8
爱赛车HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230032/index.m3u8
军旅剧场,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229698/index.m3u8
家庭剧场,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229695/index.m3u8
海外剧场,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229654/index.m3u8
健康有约,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229692/index.m3u8
农业致富,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229666/index.m3u8
哒啵赛事HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229678/index.m3u8
世界搏击,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229722/index.m3u8
中国功夫,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229663/index.m3u8
潮妈辣婆,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229725/index.m3u8
优购物,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221231360/index.m3u8
家有购物,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229044/index.m3u8
央广购物,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221231409/index.m3u8
炫舞未来,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229669/index.m3u8
爱喜剧HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230022/133451466.smil/index.m3u8?fmt=ts2hls
爱科幻HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230025/133448343.smil/index.m3u8?fmt=ts2hls
爱探索HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230112/index.m3u8
爱浪漫HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230005/133448347.smil/index.m3u8?fmt=ts2hls
中国教育-4,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230334/index.m3u8
CCTV5HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232648/341733164.smil/index.m3u8?fmt=ts2hls
CCTV5+HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228372/42612910.smil/index.m3u8?fmt=ts2hls
爱体育HD,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230103/index.m3u8
浙江1,#genre#
SiTV欢笑剧场 2160P,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230739/index.m3u8
CCTV1HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231468/index.m3u8
CCTV1HD[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231471/index.m3u8
CCTV2HD[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221232362/index.m3u8
CCTV2HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231678/index.m3u8
CCTV3HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231682/index.m3u8
CCTV3[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231528/index.m3u8
CCTV4HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231726/index.m3u8
CCTV4-欧洲HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231615/index.m3u8
CCTV4-美洲HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231654/index.m3u8
CCTV5+HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231459/index.m3u8
CCTV5+HD[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231535/index.m3u8
CCTV6HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231724/index.m3u8
CCTV7HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231633/index.m3u8
CCTV8HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231694/index.m3u8
CCTV9HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231697/index.m3u8
CCTV10HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221232492/index.m3u8
CCTV10HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231666/index.m3u8
CCTV11HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231711/index.m3u8
CCTV12HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231660/index.m3u8
CCTV13[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231636/index.m3u8
CCTV14HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231648/index.m3u8
CCTV15HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231693/index.m3u8
CCTV17HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231772/index.m3u8
CCTV怀旧剧场[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231544/index.m3u8
CCTV第一剧场[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231540/index.m3u8
CCTV风云剧场[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231604/index.m3u8
CCTV风云足球[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231547/index.m3u8
CCTV世界地理[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231537/index.m3u8
CCTV女性时尚[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231598/index.m3u8
CCTV央视台球[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231616/index.m3u8
CCTV高尔夫网球[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231619/index.m3u8
CCTV央视文化精品[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231561/index.m3u8
CGTN[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231592/index.m3u8
CGTN西班牙语[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231546/index.m3u8
CGTN阿拉伯语[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231579/index.m3u8
CGTN俄语[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231591/index.m3u8
CETV1HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231714/index.m3u8
CETV2[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231607/index.m3u8
CETV3[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231543/index.m3u8
CHC动作电影[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231580/index.m3u8
CHC家庭影院[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231799/index.m3u8
湖南卫视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231729/index.m3u8
湖南卫视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230206/index.m3u8
湖南卫视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230824/index.m3u8
江苏卫视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231447/index.m3u8
浙江卫视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229352/index.m3u8
浙江卫视HD[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231567/index.m3u8
东方卫视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231738/index.m3u8
东方卫视HD[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231450/index.m3u8
广东卫视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231891/index.m3u8
广东卫视HD[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231502/index.m3u8
天津卫视HD[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228905/index.m3u8
山东卫视HD[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221227909/index.m3u8
湖北卫视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231888/index.m3u8
湖北卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231523/index.m3u8
黑龙江卫视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231967/index.m3u8
黑龙江卫视HD[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231520/index.m3u8
安徽卫视HD[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230215/index.m3u8
辽宁卫视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231802/index.m3u8
江西卫视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231964/index.m3u8
江西卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231511/index.m3u8
四川卫视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231885/index.m3u8
四川卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231517/index.m3u8
贵州卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231676/index.m3u8
南方卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231661/index.m3u8
山西卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231444/index.m3u8
东南卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231414/index.m3u8
青海卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231435/index.m3u8
云南卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231499/index.m3u8
河南卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231514/index.m3u8
陕西卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231408/index.m3u8
吉林卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231472/index.m3u8
广西卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231600/index.m3u8
内蒙古卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231478/index.m3u8
宁夏卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231441/index.m3u8
重庆卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231508/index.m3u8
新疆卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231451/index.m3u8
兵团卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231469/index.m3u8
厦门卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229184/index.m3u8
北京文艺HD[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231570/index.m3u8
四海钓鱼[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231718/index.m3u8
环球旅游[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231712/index.m3u8
嘉佳卡通[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231483/index.m3u8
金鹰纪实[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231582/index.m3u8
江苏教育[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231631/index.m3u8
优漫卡通[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231574/index.m3u8
好享购物[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231427/index.m3u8
泰州新闻综合[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231369/index.m3u8
泰州新闻综合[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231430/index.m3u8
山东教育卫视[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231549/index.m3u8
东方影视HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231639/index.m3u8
上海纪实人文HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231612/index.m3u8
上海都市HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231618/index.m3u8
幸福彩HD[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231730/index.m3u8
东方财经浦东[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231646/index.m3u8
哈哈炫动[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231480/index.m3u8
数码时代[720*576],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229419/index.m3u8
杭州综合[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229307/index.m3u8
杭州明珠[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229310/index.m3u8
杭州生活[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229313/index.m3u8
杭州影视[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229377/index.m3u8
杭州少儿体育[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229316/index.m3u8
咪咕Y+[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230226/index.m3u8
MIGU喜剧联盟[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231621/index.m3u8
MIGU古天乐影院[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231645/index.m3u8
MIGU成龙作品集[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231687/index.m3u8
MIGU郭富城影院[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231688/index.m3u8
MIGU张国荣影院[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231790/index.m3u8
MIGU高分影院[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231699/index.m3u8
MIGU周润发影院[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231709/index.m3u8
MIGU怀旧老片[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231513/index.m3u8
MIGU午夜失眠剧场[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231516/index.m3u8
MIGU吴京作品集[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231564/index.m3u8
MIGU云上电影院[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231565/index.m3u8
MIGU每日科幻电影[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231568/index.m3u8
MIGU刘德华影院[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231757/index.m3u8
MIGU僵尸剧场[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231742/index.m3u8
MIGUTVB剧场[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231733/index.m3u8
MIGU金庸频道[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231477/index.m3u8
MIGU新片放映厅[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231640/index.m3u8
MIGU盗墓方法论[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231652/index.m3u8
MIGU试胆大会[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231672/index.m3u8
MIGU高能烧脑时刻[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231504/index.m3u8
MIGU杨幂作品集[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231556/index.m3u8
MIGU4K剧场[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231624/index.m3u8
MIGU爱情公寓[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231583/index.m3u8
